Area,mean,median,std,max,min,count
Albania,12.1,11.88,0.71,13.86,10.88,63
Austria,6.94,6.88,0.91,8.84,5.31,63
Belarus,7.52,7.53,0.77,9.1,5.68,32
Belgium,10.92,10.86,0.65,11.98,9.32,24
Bulgaria,10.97,10.8,0.81,13.05,9.63,63
Croatia,12.08,12.2,0.73,13.42,10.43,32
Denmark,8.42,8.52,0.92,10.13,6.56,63
Estonia,6.09,6.1,0.47,7.05,4.97,32
Finland,1.92,2.07,1.1,4.22,-0.64,63
France,11.17,11.18,0.85,13.18,9.45,63
Germany,9.09,9.14,0.93,10.89,7.35,63
Greece,14.04,13.87,0.69,15.71,12.89,63
Hungary,11.04,10.92,0.93,13.1,9.36,63
Ireland,9.55,9.55,0.54,10.65,8.41,63
Italy,12.8,12.82,0.75,14.46,11.53,63
Latvia,6.92,6.97,0.75,8.58,5.1,32
Lithuania,7.45,7.5,0.77,9.07,5.53,32
Montenegro,10.43,10.32,0.5,11.3,9.45,18
Netherlands,9.99,10.1,0.92,11.68,7.96,63
Norway,1.75,1.81,0.93,3.45,-0.28,63
Poland,8.36,8.34,0.96,10.25,6.63,63
Portugal,15.56,15.61,0.65,17.06,14.12,63
Romania,9.74,9.54,0.9,11.9,8.08,63
Slovenia,9.97,10.1,0.73,11.31,8.29,32
Spain,13.68,13.74,0.65,15.16,12.32,63
Sweden,2.72,2.77,0.98,4.61,0.38,63
Switzerland,6.01,6.05,0.9,8.04,4.42,63
Turkey,11.39,11.36,0.76,13.13,9.74,63
Ukraine,9.37,9.44,0.79,10.85,7.68,32
United Kingdom,8.93,8.95,0.62,10.14,7.64,63
