Area,Fungicides and Bactericides_sum,Fungicides and Bactericides_count,Herbicides_sum,Herbicides_count,Insecticides_sum,Insecticides_count,Pesticides (total)_sum,Pesticides (total)_count,Fungicides and Bactericides_missing,Herbicides_missing,Insecticides_missing,Pesticides (total)_missing
Albania,4903,34,723,34,5439,34,12442,34,0,0,0,0
Austria,57857,34,51328,34,18831,34,135078,34,0,0,0,0
Belarus,23581,32,52832,32,1754,32,84541,32,0,0,0,0
Belgium,59384,24,75685,24,19052,24,166159,24,0,0,0,0
Bulgaria,29285,34,60832,34,11305,34,101912,34,0,0,0,0
Croatia,27152,32,36155,32,4749,32,71051,32,0,0,0,0
Denmark,24265,34,85542,34,2425,34,120052,34,0,0,0,0
Estonia,2009,32,11174,32,382,32,14803,32,0,0,0,0
Finland,92976,34,38481,34,1307,34,135412,34,0,0,0,0
France,1336919,34,1005725,34,167717,34,2726361,34,0,0,0,0
Germany,348669,34,546697,34,235716,34,1310237,34,0,0,0,0
Greece,91464,34,66247,34,61378,34,251443,34,0,0,0,0
Hungary,94666,34,135055,34,35882,34,289036,34,0,0,0,0
Ireland,20439,34,59089,34,2104,34,87754,34,0,0,0,0
Italy,1544202,34,295324,34,399501,34,2461047,34,0,0,0,0
Latvia,5074,32,19739,32,818,32,31468,32,0,0,0,0
Lithuania,11931,32,35689,32,852,32,59775,32,0,0,0,0
Montenegro,883,18,203,18,166,18,1257,18,0,0,0,0
Netherlands,143422,34,106784,34,55892,34,338206,34,0,0,0,0
Norway,4279,34,18523,34,439,34,24764,34,0,0,0,0
Poland,167682,34,287941,34,29886,34,538514,34,0,0,0,0
Portugal,291193,34,64969,34,27973,34,417655,34,0,0,0,0
Romania,161841,34,175611,34,55798,34,396720,34,0,0,0,0
Slovenia,24544,32,8328,32,2445,32,35939,32,0,0,0,0
Spain,700267,34,419687,34,361672,34,1692615,34,0,0,0,0
Sweden,9873,34,54351,34,1353,34,66943,34,0,0,0,0
Switzerland,30141,34,22853,34,6976,34,64613,34,0,0,0,0
Turkey,433205,34,284211,34,447126,34,1302516,34,0,0,0,0
Ukraine,251416,32,849987,32,219229,32,1355506,32,0,0,0,0
United Kingdom,205224,34,531510,34,40974,34,869872,34,0,0,0,0
